x1,x2,y
0.25,1.95,-0.5495
0.25,2.05,-0.6844
0.25,2.15,-0.8125
0.25,2.25,-0.9325
0.25,2.35,-1.0431
0.25,2.45,-1.1433
0.25,2.55,-1.2322
0.25,2.65,-1.3086
0.25,2.75,-1.3721
0.25,2.85,-1.4218
0.25,2.95,-1.4573
0.25,3.05,-1.4782
0.25,3.15,-1.4844
0.25,3.25,-1.4757
0.25,3.35,-1.4523
0.25,3.45,-1.4144
0.25,3.55,-1.3623
0.25,3.65,-1.2967
0.25,3.75,-1.2181
0.25,3.85,-1.1273
0.25,3.95,-1.0252
0.25,4.05,-0.9129
0.25,4.15,-0.7915
0.25,4.25,-0.6622
0.25,4.35,-0.5262
0.25,4.45,-0.385
0.25,4.55,-0.24
0.25,4.65,-0.0926
0.25,4.75,0.0558
0.25,4.85,0.2036
0.25,4.95,0.3494
0.25,5.05,0.4917
0.25,5.15,0.6291
0.25,5.25,0.7602
0.25,5.35,0.8836
0.25,5.45,0.9983
0.25,5.55,1.103
0.25,5.65,1.1967
0.25,5.75,1.2784
0.25,5.85,1.3473
0.25,5.95,1.4028
0.35,0.05,2.0548
0.35,0.15,2.0343
0.35,0.25,1.9934
0.35,0.35,1.9327
0.35,0.45,1.8526
0.35,0.55,1.754
0.35,0.65,1.6379
0.35,0.75,1.5054
0.35,0.85,1.3578
0.35,0.95,1.1967
0.35,1.05,1.0237
0.35,1.15,0.8404
0.35,1.25,0.6487
0.35,1.35,0.4506
0.35,1.45,0.2479
0.35,1.55,0.0428
0.35,1.65,-0.1628
0.35,1.75,-0.3667
0.35,1.85,-0.567
0.35,1.95,-0.7616
0.35,2.05,-0.9486
0.35,2.15,-1.1261
0.35,2.25,-1.2924
0.35,2.35,-1.4458
0.35,2.45,-1.5847
0.35,2.55,-1.7077
0.35,2.65,-1.8138
0.35,2.75,-1.9016
0.35,2.85,-1.9705
0.35,2.95,-2.0197
0.35,3.05,-2.0488
0.35,3.15,-2.0573
0.35,3.25,-2.0453
0.35,3.35,-2.0129
0.35,3.45,-1.9603
0.35,3.55,-1.8882
0.35,3.65,-1.7972
0.35,3.75,-1.6882
0.35,3.85,-1.5624
0.35,3.95,-1.4209
0.35,4.05,-1.2653
0.35,4.15,-1.097
0.35,4.25,-0.9178
0.35,4.35,-0.7294
0.35,4.45,-0.5337
0.35,4.55,-0.3326
0.35,4.65,-0.1283
0.35,4.75,0.0774
0.35,4.85,0.2822
0.35,4.95,0.4843
0.35,5.05,0.6815
0.35,5.15,0.8719
0.35,5.25,1.0536
0.35,5.35,1.2247
0.35,5.45,1.3836
0.35,5.55,1.5287
0.35,5.65,1.6586
0.35,5.75,1.7718
0.35,5.85,1.8674
0.35,5.95,1.9442
0.45,0.05,2.6065
0.45,0.15,2.5805
0.45,0.25,2.5287
0.45,0.35,2.4516
0.45,0.45,2.35
0.45,0.55,2.2249
0.45,0.65,2.0776
0.45,0.75,1.9096
0.45,0.85,1.7224
0.45,0.95,1.5181
0.45,1.05,1.2986
0.45,1.15,1.0661
0.45,1.25,0.8229
0.45,1.35,0.5716
0.45,1.45,0.3145
0.45,1.55,0.0543
0.45,1.65,-0.2065
0.45,1.75,-0.4652
0.45,1.85,-0.7192
0.45,1.95,-0.9661
0.45,2.05,-1.2033
0.45,2.15,-1.4285
0.45,2.25,-1.6394
0.45,2.35,-1.8339
0.45,2.45,-2.0101
0.45,2.55,-2.1663
0.45,2.65,-2.3007
0.45,2.75,-2.4122
0.45,2.85,-2.4996
0.45,2.95,-2.562
0.45,3.05,-2.5989
0.45,3.15,-2.6097
0.45,3.25,-2.5945
0.45,3.35,-2.5533
0.45,3.45,-2.4867
0.45,3.55,-2.3951
0.45,3.65,-2.2797
0.45,3.75,-2.1415
0.45,3.85,-1.9819
0.45,3.95,-1.8025
0.45,4.05,-1.605
0.45,4.15,-1.3916
0.45,4.25,-1.1642
0.45,4.35,-0.9252
0.45,4.45,-0.677
0.45,4.55,-0.4219
0.45,4.65,-0.1627
0.45,4.75,0.0981
0.45,4.85,0.358
0.45,4.95,0.6143
0.45,5.05,0.8645
0.45,5.15,1.106
0.45,5.25,1.3364
0.45,5.35,1.5536
0.45,5.45,1.7551
0.45,5.55,1.9392
0.45,5.65,2.1039
0.45,5.75,2.2475
0.45,5.85,2.3687
0.45,5.95,2.4663
0.55,0.05,3.1322
0.55,0.15,3.1009
0.55,0.25,3.0386
0.55,0.35,2.946
0.55,0.45,2.8239
0.55,0.55,2.6736
0.55,0.65,2.4966
0.55,0.75,2.2947
0.55,0.85,2.0698
0.55,0.95,1.8242
0.55,1.05,1.5604
0.55,1.15,1.2811
0.55,1.25,0.9889
0.55,1.35,0.6868
0.55,1.45,0.3779
0.55,1.55,0.0652
0.55,1.65,-0.2481
0.55,1.75,-0.559
0.55,1.85,-0.8643
0.55,1.95,-1.1609
0.55,2.05,-1.446
0.55,2.15,-1.7166
0.55,2.25,-1.97
0.55,2.35,-2.2038
0.55,2.45,-2.4155
0.55,2.55,-2.6032
0.55,2.65,-2.7648
0.55,2.75,-2.8987
0.55,2.85,-3.0037
0.55,2.95,-3.0787
0.55,3.05,-3.123
0.55,3.15,-3.136
0.55,3.25,-3.1177
0.55,3.35,-3.0683
0.55,3.45,-2.9882
0.55,3.55,-2.8782
0.55,3.65,-2.7395
0.55,3.75,-2.5734
0.55,3.85,-2.3816
0.55,3.95,-2.166
0.55,4.05,-1.9287
0.55,4.15,-1.6722
0.55,4.25,-1.399
0.55,4.35,-1.1118
0.55,4.45,-0.8135
0.55,4.55,-0.507
0.55,4.65,-0.1955
0.55,4.75,0.1179
0.55,4.85,0.4302
0.55,4.95,0.7382
0.55,5.05,1.0388
0.55,5.15,1.329
0.55,5.25,1.606
0.55,5.35,1.8669
0.55,5.45,2.1091
0.55,5.55,2.3303
0.55,5.65,2.5282
0.55,5.75,2.7008
0.55,5.85,2.8464
0.55,5.95,2.9637
0.65,0.05,3.6266
0.65,0.15,3.5903
0.65,0.25,3.5182
0.65,0.35,3.411
0.65,0.45,3.2696
0.65,0.55,3.0956
0.65,0.65,2.8907
0.65,0.75,2.6568
0.65,0.85,2.3965
0.65,0.95,2.1122
0.65,1.05,1.8067
0.65,1.15,1.4833
0.65,1.25,1.145
0.65,1.35,0.7952
0.65,1.45,0.4376
0.65,1.55,0.0755
0.65,1.65,-0.2873
0.65,1.75,-0.6472
0.65,1.85,-1.0007
0.65,1.95,-1.3442
0.65,2.05,-1.6742
0.65,2.15,-1.9875
0.65,2.25,-2.281
0.65,2.35,-2.5516
0.65,2.45,-2.7968
0.65,2.55,-3.014
0.65,2.65,-3.2011
0.65,2.75,-3.3563
0.65,2.85,-3.4778
0.65,2.95,-3.5647
0.65,3.05,-3.6159
0.65,3.15,-3.631
0.65,3.25,-3.6098
0.65,3.35,-3.5525
0.65,3.45,-3.4598
0.65,3.55,-3.3325
0.65,3.65,-3.1719
0.65,3.75,-2.9795
0.65,3.85,-2.7575
0.65,3.95,-2.5078
0.65,4.05,-2.2331
0.65,4.15,-1.9361
0.65,4.25,-1.6198
0.65,4.35,-1.2873
0.65,4.45,-0.9419
0.65,4.55,-0.5871
0.65,4.65,-0.2264
0.65,4.75,0.1365
0.65,4.85,0.4981
0.65,4.95,0.8547
0.65,5.05,1.2027
0.65,5.15,1.5388
0.65,5.25,1.8594
0.65,5.35,2.1615
0.65,5.45,2.442
0.65,5.55,2.6981
0.65,5.65,2.9272
0.65,5.75,3.1271
0.65,5.85,3.2957
0.65,5.95,3.4314
0.75,0.05,4.0847
0.75,0.15,4.0439
0.75,0.25,3.9627
0.75,0.35,3.8419
0.75,0.45,3.6827
0.75,0.55,3.4867
0.75,0.65,3.2558
0.75,0.75,2.9925
0.75,0.85,2.6992
0.75,0.95,2.379
0.75,1.05,2.035
0.75,1.15,1.6706
0.75,1.25,1.2896
0.75,1.35,0.8957
0.75,1.45,0.4928
0.75,1.55,0.085
0.75,1.65,-0.3236
0.75,1.75,-0.729
0.75,1.85,-1.1271
0.75,1.95,-1.514
0.75,2.05,-1.8857
0.75,2.15,-2.2386
0.75,2.25,-2.5691
0.75,2.35,-2.874
0.75,2.45,-3.1501
0.75,2.55,-3.3948
0.75,2.65,-3.6055
0.75,2.75,-3.7802
0.75,2.85,-3.9172
0.75,2.95,-4.015
0.75,3.05,-4.0727
0.75,3.15,-4.0897
0.75,3.25,-4.0658
0.75,3.35,-4.0013
0.75,3.45,-3.8969
0.75,3.55,-3.7535
0.75,3.65,-3.5726
0.75,3.75,-3.356
0.75,3.85,-3.1058
0.75,3.95,-2.8246
0.75,4.05,-2.5153
0.75,4.15,-2.1807
0.75,4.25,-1.8244
0.75,4.35,-1.4499
0.75,4.45,-1.0609
0.75,4.55,-0.6612
0.75,4.65,-0.255
0.75,4.75,0.1538
0.75,4.85,0.561
0.75,4.95,0.9627
0.75,5.05,1.3547
0.75,5.15,1.7332
0.75,5.25,2.0943
0.75,5.35,2.4346
0.75,5.45,2.7505
0.75,5.55,3.0389
0.75,5.65,3.297
0.75,5.75,3.5221
0.75,5.85,3.7121
0.75,5.95,3.8649
0.85,0.05,4.502
0.85,0.15,4.4571
0.85,0.25,4.3675
0.85,0.35,4.2344
0.85,0.45,4.0589
0.85,0.55,3.8429
0.85,0.65,3.5885
0.85,0.75,3.2982
0.85,0.85,2.975
0.85,0.95,2.622
0.85,1.05,2.2429
0.85,1.15,1.8413
0.85,1.25,1.4214
0.85,1.35,0.9872
0.85,1.45,0.5432
0.85,1.55,0.0937
0.85,1.65,-0.3567
0.85,1.75,-0.8035
0.85,1.85,-1.2423
0.85,1.95,-1.6687
0.85,2.05,-2.0784
0.85,2.15,-2.4673
0.85,2.25,-2.8316
0.85,2.35,-3.1676
0.85,2.45,-3.472
0.85,2.55,-3.7416
0.85,2.65,-3.9739
0.85,2.75,-4.1665
0.85,2.85,-4.3174
0.85,2.95,-4.4252
0.85,3.05,-4.4888
0.85,3.15,-4.5075
0.85,3.25,-4.4812
0.85,3.35,-4.4101
0.85,3.45,-4.295
0.85,3.55,-4.1369
0.85,3.65,-3.9376
0.85,3.75,-3.6988
0.85,3.85,-3.4231
0.85,3.95,-3.1132
0.85,4.05,-2.7722
0.85,4.15,-2.4035
0.85,4.25,-2.0108
0.85,4.35,-1.598
0.85,4.45,-1.1692
0.85,4.55,-0.7288
0.85,4.65,-0.281
0.85,4.75,0.1695
0.85,4.85,0.6184
0.85,4.95,1.061
0.85,5.05,1.4931
0.85,5.15,1.9103
0.85,5.25,2.3083
0.85,5.35,2.6833
0.85,5.45,3.0315
0.85,5.55,3.3494
0.85,5.65,3.6339
0.85,5.75,3.882
0.85,5.85,4.0913
0.85,5.95,4.2598
0.95,0.05,4.8744
0.95,0.15,4.8257
0.95,0.25,4.7288
0.95,0.35,4.5846
0.95,0.45,4.3946
0.95,0.55,4.1607
0.95,0.65,3.8853
0.95,0.75,3.571
0.95,0.85,3.221
0.95,0.95,2.8389
0.95,1.05,2.4284
0.95,1.15,1.9936
0.95,1.25,1.5389
0.95,1.35,1.0689
0.95,1.45,0.5881
0.95,1.55,0.1015
0.95,1.65,-0.3861
0.95,1.75,-0.8699
0.95,1.85,-1.345
0.95,1.95,-1.8067
0.95,2.05,-2.2503
0.95,2.15,-2.6714
0.95,2.25,-3.0658
0.95,2.35,-3.4296
0.95,2.45,-3.7591
0.95,2.55,-4.0511
0.95,2.65,-4.3026
0.95,2.75,-4.5111
0.95,2.85,-4.6745
0.95,2.95,-4.7912
0.95,3.05,-4.86
0.95,3.15,-4.8803
0.95,3.25,-4.8518
0.95,3.35,-4.7749
0.95,3.45,-4.6502
0.95,3.55,-4.4791
0.95,3.65,-4.2632
0.95,3.75,-4.0047
0.95,3.85,-3.7062
0.95,3.95,-3.3707
0.95,4.05,-3.0015
0.95,4.15,-2.6023
0.95,4.25,-2.1771
0.95,4.35,-1.7302
0.95,4.45,-1.2659
0.95,4.55,-0.7891
0.95,4.65,-0.3043
0.95,4.75,0.1835
0.95,4.85,0.6695
0.95,4.95,1.1488
0.95,5.05,1.6166
0.95,5.15,2.0682
0.95,5.25,2.4992
0.95,5.35,2.9052
0.95,5.45,3.2822
0.95,5.55,3.6264
0.95,5.65,3.9344
0.95,5.75,4.203
0.95,5.85,4.4297
0.95,5.95,4.6121
1.05,0.05,5.198
1.05,0.15,5.1461
1.05,0.25,5.0427
1.05,0.35,4.889
1.05,0.45,4.6864
1.05,0.55,4.437
1.05,0.65,4.1432
1.05,0.75,3.8081
1.05,0.85,3.4349
1.05,0.95,3.0274
1.05,1.05,2.5896
1.05,1.15,2.126
1.05,1.25,1.6411
1.05,1.35,1.1398
1.05,1.45,0.6272
1.05,1.55,0.1082
1.05,1.65,-0.4118
1.05,1.75,-0.9277
1.05,1.85,-1.4343
1.05,1.95,-1.9266
1.05,2.05,-2.3997
1.05,2.15,-2.8487
1.05,2.25,-3.2694
1.05,2.35,-3.6573
1.05,2.45,-4.0087
1.05,2.55,-4.32
1.05,2.65,-4.5882
1.05,2.75,-4.8106
1.05,2.85,-4.9848
1.05,2.95,-5.1093
1.05,3.05,-5.1827
1.05,3.15,-5.2044
1.05,3.25,-5.174
1.05,3.35,-5.0919
1.05,3.45,-4.959
1.05,3.55,-4.7765
1.05,3.65,-4.5463
1.05,3.75,-4.2706
1.05,3.85,-3.9523
1.05,3.95,-3.5945
1.05,4.05,-3.2008
1.05,4.15,-2.7751
1.05,4.25,-2.3217
1.05,4.35,-1.8451
1.05,4.45,-1.35
1.05,4.55,-0.8415
1.05,4.65,-0.3245
1.05,4.75,0.1957
1.05,4.85,0.7139
1.05,4.95,1.2251
1.05,5.05,1.7239
1.05,5.15,2.2056
1.05,5.25,2.6652
1.05,5.35,3.0981
1.05,5.45,3.5002
1.05,5.55,3.8672
1.05,5.65,4.1956
1.05,5.75,4.4821
1.05,5.85,4.7238
1.05,5.95,4.9183
1.15,0.05,5.4697
1.15,0.15,5.4151
1.15,0.25,5.3063
1.15,0.35,5.1446
1.15,0.45,4.9314
1.15,0.55,4.6689
1.15,0.65,4.3598
1.15,0.75,4.0072
1.15,0.85,3.6145
1.15,0.95,3.1856
1.15,1.05,2.725
1.15,1.15,2.2371
1.15,1.25,1.7269
1.15,1.35,1.1994
1.15,1.45,0.6599
1.15,1.55,0.1139
1.15,1.65,-0.4333
1.15,1.75,-0.9762
1.15,1.85,-1.5093
1.15,1.95,-2.0273
1.15,2.05,-2.5251
1.15,2.15,-2.9977
1.15,2.25,-3.4402
1.15,2.35,-3.8485
1.15,2.45,-4.2182
1.15,2.55,-4.5459
1.15,2.65,-4.8281
1.15,2.75,-5.062
1.15,2.85,-5.2454
1.15,2.95,-5.3764
1.15,3.05,-5.4536
1.15,3.15,-5.4764
1.15,3.25,-5.4444
1.15,3.35,-5.3581
1.15,3.45,-5.2182
1.15,3.55,-5.0262
1.15,3.65,-4.7839
1.15,3.75,-4.4939
1.15,3.85,-4.1589
1.15,3.95,-3.7824
1.15,4.05,-3.3681
1.15,4.15,-2.9202
1.15,4.25,-2.443
1.15,4.35,-1.9415
1.15,4.45,-1.4206
1.15,4.55,-0.8854
1.15,4.65,-0.3415
1.15,4.75,0.2059
1.15,4.85,0.7513
1.15,4.95,1.2891
1.15,5.05,1.814
1.15,5.15,2.3208
1.15,5.25,2.8045
1.15,5.35,3.2601
1.15,5.45,3.6831
1.15,5.55,4.0694
1.15,5.65,4.4149
1.15,5.75,4.7164
1.15,5.85,4.9707
1.15,5.95,5.1754
1.25,0.05,5.6868
1.25,0.15,5.63
1.25,0.25,5.5169
1.25,0.35,5.3487
1.25,0.45,5.1271
1.25,0.55,4.8542
1.25,0.65,4.5328
1.25,0.75,4.1662
1.25,0.85,3.7579
1.25,0.95,3.312
1.25,1.05,2.8331
1.25,1.15,2.3259
1.25,1.25,1.7954
1.25,1.35,1.247
1.25,1.45,0.6861
1.25,1.55,0.1184
1.25,1.65,-0.4505
1.25,1.75,-1.0149
1.25,1.85,-1.5692
1.25,1.95,-2.1078
1.25,2.05,-2.6253
1.25,2.15,-3.1166
1.25,2.25,-3.5768
1.25,2.35,-4.0012
1.25,2.45,-4.3856
1.25,2.55,-4.7262
1.25,2.65,-5.0196
1.25,2.75,-5.2629
1.25,2.85,-5.4536
1.25,2.95,-5.5897
1.25,3.05,-5.67
1.25,3.15,-5.6937
1.25,3.25,-5.6605
1.25,3.35,-5.5707
1.25,3.45,-5.4253
1.25,3.55,-5.2256
1.25,3.65,-4.9737
1.25,3.75,-4.6722
1.25,3.85,-4.3239
1.25,3.95,-3.9325
1.25,4.05,-3.5018
1.25,4.15,-3.036
1.25,4.25,-2.54
1.25,4.35,-2.0185
1.25,4.45,-1.4769
1.25,4.55,-0.9206
1.25,4.65,-0.355
1.25,4.75,0.2141
1.25,4.85,0.7811
1.25,4.95,1.3402
1.25,5.05,1.886
1.25,5.15,2.4129
1.25,5.25,2.9158
1.25,5.35,3.3895
1.25,5.45,3.8293
1.25,5.55,4.2308
1.25,5.65,4.5901
1.25,5.75,4.9036
1.25,5.85,5.168
1.25,5.95,5.3808
1.35,0.05,5.847
1.35,0.15,5.7886
1.35,0.25,5.6723
1.35,0.35,5.4994
1.35,0.45,5.2715
1.35,0.55,4.991
1.35,0.65,4.6605
1.35,0.75,4.2836
1.35,0.85,3.8638
1.35,0.95,3.4054
1.35,1.05,2.913
1.35,1.15,2.3914
1.35,1.25,1.846
1.35,1.35,1.2821
1.35,1.45,0.7055
1.35,1.55,0.1217
1.35,1.65,-0.4632
1.35,1.75,-1.0435
1.35,1.85,-1.6134
1.35,1.95,-2.1672
1.35,2.05,-2.6993
1.35,2.15,-3.2044
1.35,2.25,-3.6775
1.35,2.35,-4.1139
1.35,2.45,-4.5092
1.35,2.55,-4.8594
1.35,2.65,-5.1611
1.35,2.75,-5.4112
1.35,2.85,-5.6072
1.35,2.95,-5.7472
1.35,3.05,-5.8298
1.35,3.15,-5.8541
1.35,3.25,-5.82
1.35,3.35,-5.7277
1.35,3.45,-5.5781
1.35,3.55,-5.3728
1.35,3.65,-5.1139
1.35,3.75,-4.8038
1.35,3.85,-4.4458
1.35,3.95,-4.0433
1.35,4.05,-3.6004
1.35,4.15,-3.1216
1.35,4.25,-2.6115
1.35,4.35,-2.0754
1.35,4.45,-1.5185
1.35,4.55,-0.9465
1.35,4.65,-0.365
1.35,4.75,0.2201
1.35,4.85,0.8031
1.35,4.95,1.378
1.35,5.05,1.9392
1.35,5.15,2.4809
1.35,5.25,2.9979
1.35,5.35,3.485
1.35,5.45,3.9372
1.35,5.55,4.35
1.35,5.65,4.7195
1.35,5.75,5.0417
1.35,5.85,5.3136
1.35,5.95,5.5324
1.45,0.05,5.9488
1.45,0.15,5.8894
1.45,0.25,5.7711
1.45,0.35,5.5952
1.45,0.45,5.3633
1.45,0.55,5.0779
1.45,0.65,4.7417
1.45,0.75,4.3581
1.45,0.85,3.931
1.45,0.95,3.4647
1.45,1.05,2.9637
1.45,1.15,2.4331
1.45,1.25,1.8781
1.45,1.35,1.3045
1.45,1.45,0.7177
1.45,1.55,0.1239
1.45,1.65,-0.4713
1.45,1.75,-1.0617
1.45,1.85,-1.6415
1.45,1.95,-2.2049
1.45,2.05,-2.7463
1.45,2.15,-3.2602
1.45,2.25,-3.7416
1.45,2.35,-4.1856
1.45,2.45,-4.5877
1.45,2.55,-4.944
1.45,2.65,-5.2509
1.45,2.75,-5.5054
1.45,2.85,-5.7048
1.45,2.95,-5.8473
1.45,3.05,-5.9313
1.45,3.15,-5.9561
1.45,3.25,-5.9213
1.45,3.35,-5.8274
1.45,3.45,-5.6753
1.45,3.55,-5.4664
1.45,3.65,-5.2029
1.45,3.75,-4.8875
1.45,3.85,-4.5232
1.45,3.95,-4.1137
1.45,4.05,-3.6631
1.45,4.15,-3.1759
1.45,4.25,-2.657
1.45,4.35,-2.1116
1.45,4.45,-1.545
1.45,4.55,-0.963
1.45,4.65,-0.3714
1.45,4.75,0.224
1.45,4.85,0.8171
1.45,4.95,1.402
1.45,5.05,1.9729
1.45,5.15,2.5241
1.45,5.25,3.0501
1.45,5.35,3.5456
1.45,5.45,4.0057
1.45,5.55,4.4258
1.45,5.65,4.8016
1.45,5.75,5.1295
1.45,5.85,5.4061
1.45,5.95,5.6287
1.55,0.05,5.9912
1.55,0.15,5.9313
1.55,0.25,5.8122
1.55,0.35,5.635
1.55,0.45,5.4015
1.55,0.55,5.114
1.55,0.65,4.7755
1.55,0.75,4.3892
1.55,0.85,3.959
1.55,0.95,3.4893
1.55,1.05,2.9848
1.55,1.15,2.4504
1.55,1.25,1.8915
1.55,1.35,1.3138
1.55,1.45,0.7229
1.55,1.55,0.1247
1.55,1.65,-0.4746
1.55,1.75,-1.0692
1.55,1.85,-1.6532
1.55,1.95,-2.2206
1.55,2.05,-2.7658
1.55,2.15,-3.2834
1.55,2.25,-3.7682
1.55,2.35,-4.2154
1.55,2.45,-4.6204
1.55,2.55,-4.9792
1.55,2.65,-5.2883
1.55,2.75,-5.5446
1.55,2.85,-5.7455
1.55,2.95,-5.8889
1.55,3.05,-5.9736
1.55,3.15,-5.9985
1.55,3.25,-5.9635
1.55,3.35,-5.8689
1.55,3.45,-5.7157
1.55,3.55,-5.5053
1.55,3.65,-5.24
1.55,3.75,-4.9223
1.55,3.85,-4.5554
1.55,3.95,-4.143
1.55,4.05,-3.6892
1.55,4.15,-3.1986
1.55,4.25,-2.6759
1.55,4.35,-2.1266
1.55,4.45,-1.556
1.55,4.55,-0.9698
1.55,4.65,-0.374
1.55,4.75,0.2256
1.55,4.85,0.8229
1.55,4.95,1.412
1.55,5.05,1.987
1.55,5.15,2.5421
1.55,5.25,3.0718
1.55,5.35,3.5709
1.55,5.45,4.0343
1.55,5.55,4.4573
1.55,5.65,4.8358
1.55,5.75,5.166
1.55,5.85,5.4446
1.55,5.95,5.6688
1.65,0.05,5.9737
1.65,0.15,5.914
1.65,0.25,5.7952
1.65,0.35,5.6186
1.65,0.45,5.3857
1.65,0.55,5.0991
1.65,0.65,4.7615
1.65,0.75,4.3764
1.65,0.85,3.9475
1.65,0.95,3.4792
1.65,1.05,2.9761
1.65,1.15,2.4432
1.65,1.25,1.886
1.65,1.35,1.3099
1.65,1.45,0.7207
1.65,1.55,0.1244
1.65,1.65,-0.4732
1.65,1.75,-1.0661
1.65,1.85,-1.6484
1.65,1.95,-2.2141
1.65,2.05,-2.7578
1.65,2.15,-3.2739
1.65,2.25,-3.7572
1.65,2.35,-4.2031
1.65,2.45,-4.6069
1.65,2.55,-4.9647
1.65,2.65,-5.2729
1.65,2.75,-5.5284
1.65,2.85,-5.7287
1.65,2.95,-5.8717
1.65,3.05,-5.9561
1.65,3.15,-5.981
1.65,3.25,-5.9461
1.65,3.35,-5.8518
1.65,3.45,-5.699
1.65,3.55,-5.4893
1.65,3.65,-5.2247
1.65,3.75,-4.9079
1.65,3.85,-4.5421
1.65,3.95,-4.1309
1.65,4.05,-3.6784
1.65,4.15,-3.1892
1.65,4.25,-2.6681
1.65,4.35,-2.1204
1.65,4.45,-1.5515
1.65,4.55,-0.967
1.65,4.65,-0.3729
1.65,4.75,0.2249
1.65,4.85,0.8205
1.65,4.95,1.4079
1.65,5.05,1.9812
1.65,5.15,2.5347
1.65,5.25,3.0629
1.65,5.35,3.5605
1.65,5.45,4.0225
1.65,5.55,4.4443
1.65,5.65,4.8217
1.65,5.75,5.151
1.65,5.85,5.4287
1.65,5.95,5.6523
1.75,0.05,5.8965
1.75,0.15,5.8376
1.75,0.25,5.7204
1.75,0.35,5.546
1.75,0.45,5.3162
1.75,0.55,5.0332
1.75,0.65,4.7
1.75,0.75,4.3198
1.75,0.85,3.8965
1.75,0.95,3.4342
1.75,1.05,2.9376
1.75,1.15,2.4117
1.75,1.25,1.8616
1.75,1.35,1.293
1.75,1.45,0.7114
1.75,1.55,0.1228
1.75,1.65,-0.4671
1.75,1.75,-1.0523
1.75,1.85,-1.6271
1.75,1.95,-2.1855
1.75,2.05,-2.7221
1.75,2.15,-3.2316
1.75,2.25,-3.7087
